site;management;DBH (cm);hollow;DBHclass
VOJK;pollard;64;1;3
VOJK;pollard;54;1;2
VOJK;pollard;71;1;3
VOJK;pollard;57;1;2
VOJK;pollard;57;1;2
VOJK;pollard;34;1;2
VOJK;pollard;57;1;2
VOJK;pollard;66;1;3
VOJK;pollard;64;0;3
VOJK;pollard;70;0;3
VOJK;pollard;68;1;3
VOJK;pollard;68;1;3
VOJK;pollard;70;1;3
VOJK;pollard;88;1;3
VOJK;pollard;76;1;3
VOJK;pollard;76;1;3
VOJK;pollard;88;1;3
VOJK;pollard;96;0;4
VOJK;pollard;108;1;4
VOJK;pollard;80;1;3
VOJK;pollard;64;1;3
VOJK;pollard;80;0;3
VOJK;pollard;80;1;3
VOJK;pollard;61;1;3
VOJK;pollard;64;1;3
VOJK;pollard;35;1;2
VOJK;pollard;96;1;4
VOJK;pollard;48;1;2
VOJK;pollard;43;1;2
VOJK;pollard;68;1;3
VOJK;pollard;69;1;3
VOJK;pollard;49;0;2
VOJK;pollard;35;1;2
VOJK;pollard;32;1;2
VOJK;pollard;71;1;3
VOJK;pollard;61;1;3
VOJK;pollard;14;1;1
VOJK;pollard;65;1;3
VOJK;pollard;45;1;2
VOJK;pollard;75;1;3
VOJK;pollard;54;1;2
VOJK;pollard;82;1;3
VOJK;pollard;62;1;3
VOJK;pollard;48;1;2
VOJK;pollard;55;1;2
VOJK;pollard;72;1;3
VOJK;pollard;49;1;2
VOJK;pollard;60;1;2
VOJK;pollard;56;1;2
VOJK;pollard;63;1;3
VOJK;pollard;108;1;4
VOJK;pollard;70;1;3
VOJK;pollard;45;1;2
VOJK;pollard;73;1;3
VOJK;pollard;61;1;3
VOJK;pollard;70;0;3
VOJK;pollard;44;1;2
VOJK;pollard;27;0;1
VOJK;pollard;63;1;3
VOJK;pollard;64;1;3
VOJK;pollard;30;0;1
VOJK;pollard;55;1;2
VOJK;pollard;70;1;3
VOJK;pollard;56;1;2
VOJK;pollard;57;1;2
VOJK;pollard;70;1;3
VOJK;pollard;49;1;2
VOJK;pollard;96;1;4
VOJK;pollard;63;1;3
VOJK;pollard;46;1;2
VOJK;pollard;51;1;2
VOJK;pollard;70;1;3
VOJK;pollard;44;1;2
VOJK;pollard;54;1;2
VOJK;pollard;31;1;2
VOJK;pollard;68;1;3
VOJK;pollard;65;1;3
VOJK;pollard;55;1;2
VOJK;pollard;54;1;2
VOJK;pollard;61;1;3
VOJK;pollard;54;1;2
VOJK;pollard;55;1;2
VOJK;pollard;81;1;3
VOJK;pollard;55;1;2
VOJK;pollard;53;1;2
VOJK;pollard;56;1;2
VOJK;pollard;66;1;3
VOJK;pollard;64;1;3
VOJK;pollard;54;1;2
VOJK;pollard;32;0;2
VOJK;pollard;83;1;3
VOJK;pollard;61;1;3
VOJK;pollard;61;1;3
VOJK;pollard;70;1;3
VOJK;pollard;62;1;3
VOJK;pollard;32;1;2
VOJK;pollard;76;1;3
VOJK;pollard;105;1;4
VOJK;pollard;67;1;3
VOJK;pollard;39;1;2
VOJK;pollard;78;1;3
VOJK;pollard;80;1;3
VOJK;pollard;55;1;2
VOJK;pollard;64;1;3
VOJK;pollard;69;1;3
VOJK;pollard;91;1;4
VOJK;pollard;51;0;2
VOJK;pollard;104;1;4
VOJK;pollard;92;1;4
VOJK;pollard;72;1;3
VOJK;pollard;96;1;4
VOJK;pollard;44;1;2
VOJK;pollard;120;1;5
VOJK;pollard;125;1;5
VOJK;pollard;77;1;3
VOJK;pollard;80;1;3
VOJK;pollard;80;0;3
VOJK;pollard;64;0;3
VOJK;pollard;118;1;4
VOJK;pollard;68;1;3
VOJK;pollard;32;0;2
VOJK;pollard;61;1;3
VOJK;pollard;80;1;3
VOJK;pollard;92;1;4
VOJK;pollard;77;1;3
VOJK;pollard;80;1;3
VOJK;pollard;80;1;3
VOJK;pollard;111;1;4
VOJK;pollard;111;1;4
VOJK;pollard;124;1;5
VOJK;pollard;92;1;4
VOJK;pollard;166;1;6
VOJK;pollard;150;1;5
VOJK;pollard;80;1;3
VOJK;pollard;182;1;7
VOJK;pollard;111;1;4
VOJK;pollard;83;0;3
VOJK;pollard;80;1;3
VOJK;pollard;23;0;1
VOJK;pollard;120;1;5
VOJK;pollard;96;1;4
VOJK;pollard;96;1;4
VOJK;pollard;80;0;3
VOJK;pollard;97;1;4
VOJK;pollard;96;1;4
VOJK;pollard;122;1;5
VOJK;pollard;140;1;5
VOJK;pollard;91;1;4
VOJK;pollard;85;1;3
VOJK;pollard;47;1;2
VOJK;pollard;49;1;2
VOJK;pollard;115;1;4
VOJK;pollard;187;1;7
VOJK;pollard;160;1;6
VOJK;pollard;138;1;5
VOJK;pollard;110;1;4
VOJK;pollard;74;1;3
VOJK;pollard;80;1;3
VOJK;pollard;80;1;3
VOJK;pollard;111;1;4
VOJK;pollard;96;1;4
VOJK;pollard;80;0;3
VOJK;pollard;96;1;4
VOJK;pollard;123;1;5
VOJK;pollard;78;1;3
VOJK;pollard;39;1;2
VOJK;pollard;48;1;2
VOJK;pollard;57;1;2
VOJK;pollard;60;1;2
VOJK;pollard;50;1;2
VOJK;pollard;48;1;2
VOJK;pollard;54;1;2
VOJK;pollard;46;1;2
VOJK;pollard;61;1;3
VOJK;pollard;73;1;3
VOJK;pollard;61;1;3
VOJK;pollard;46;1;2
VOJK;pollard;60;1;2
VOJK;pollard;59;1;2
